cve_ent,cve_mun,nom_mun,viv_tot,viv_rem,viv_emig,viv_circ,viv_ret,iim_dp2,gim_dp2,pos_nal
30,30212,Santiago Sochiapan,3635,19.36726272,5.61210454,0.0,2.77854195,61.40961,Alto,463.0
31,31001,Abalá,1816,0.825991189,0.44052863,0.11025358,0.16519824,65.01992,Muy bajo,2169.0
31,31002,Acanceh,4382,1.255134642,0.0,0.0,0.0,65.23766,Muy bajo,2378.0
31,31003,Akil,3179,4.812834225,0.88078012,0.06299213,1.16388802,64.26996,Bajo,1502.0
31,31004,Baca,1770,0.395480226,0.0,0.0,0.0,65.33666,Muy bajo,2447.0
31,31005,Bokobá,634,1.104100946,0.0,0.0,0.0,65.25505,Muy bajo,2393.0
31,31006,Buctzotz,2796,3.969957082,0.8583691,0.35765379,0.64377682,64.1273,Bajo,1397.0
31,31007,Cacalchén,2060,1.067961165,0.0,0.0,0.19417476,65.20541,Muy bajo,2344.0
31,31008,Calotmul,1160,0.259067358,0.0,0.0,0.0,65.35238,Muy bajo,2453.0
31,31009,Cansahcab,1295,3.091190108,0.69498069,0.15467904,0.84942085,64.46692,Muy bajo,1663.0
31,31010,Cantamayec,746,0.670241287,0.0,0.0,0.0,65.30502,Muy bajo,2426.0
31,31011,Celestún,2369,0.675675676,0.12663571,0.08442381,0.0422119,65.15967,Muy bajo,2299.0
31,31012,Cenotillo,1188,17.34006734,2.27272727,0.42122999,3.87205387,61.36428,Alto,455.0
31,31013,Conkal,4958,1.667344449,0.14118596,0.16168149,0.0605449,64.9362,Muy bajo,2078.0
31,31014,Cuncunul,442,0.678733032,0.22624434,0.0,0.0,65.26485,Muy bajo,2399.0
31,31015,Cuzamá,1581,1.075949367,0.25300443,0.0,0.0,65.21447,Muy bajo,2350.0
31,31016,Chacsinkín,725,1.655172414,0.0,0.13831259,0.13793103,64.97137,Muy bajo,2116.0
31,31017,Chankom,1236,0.729335494,0.1618123,0.0,0.0,65.27018,Muy bajo,2404.0
31,31018,Chapab,965,3.941908714,1.65803109,0.10373444,0.7253886,64.30351,Bajo,1523.0
31,31019,Chemax,8690,0.0,0.0,0.0,0.0,,Nulo,
31,31020,Chicxulub Pueblo,1310,0.763358779,0.07633588,0.07639419,0.07633588,65.1594,Muy bajo,2298.0
31,31021,Chichimilá,2091,0.430416069,0.0,0.0,0.0,65.33264,Muy bajo,2446.0
31,31022,Chikindzonot,1015,0.0,0.0,0.0,0.0,,Nulo,
31,31023,Chocholá,1458,0.823045267,0.0,0.0,0.0,65.28742,Muy bajo,2415.0
31,31024,Chumayel,895,7.150837989,0.78212291,0.0,0.55865922,64.26836,Bajo,1501.0
31,31025,Dzán,1472,7.065217391,1.08695652,0.13623978,1.83423913,63.69271,Bajo,1135.0
31,31026,Dzemul,1092,1.648351648,0.09157509,0.0,0.09157509,65.15113,Muy bajo,2289.0
31,31027,Dzidzantún,2482,1.007658202,0.08058018,0.08058018,0.04029009,65.13501,Muy bajo,2277.0
31,31028,Dzilam de Bravo,883,1.020408163,0.33975085,0.11325028,0.22650057,64.99406,Muy bajo,2141.0
31,31029,Dzilam González,1912,2.201257862,0.10460251,0.0,0.0,65.11057,Muy bajo,2249.0
31,31030,Dzitás,1079,0.46339203,0.0,0.0,0.0,65.32884,Muy bajo,2443.0
31,31031,Dzoncauich,790,1.898734177,0.50632911,0.0,0.37974684,64.9706,Muy bajo,2115.0
